Polynomial Parametrisation of Franke's Function Using Linear Regression

Franke Parameters:
  number of data points          = 400
  minimim x value                = +0.000000e+00
  maximum x value                = +1.000000e+00
  minimum y value                = +0.000000e+00
  maximum y value                = +1.000000e+00
  standard deviation of noise    = +0.000000e+00

Regression parameters:
  polynomial degree              = 5
  number of penalty parameters   = +1.000000e+02
  minimum penalty                = +1.000000e-09
  maximum penalty                = +5.000000e-02
  number of Bootstrap iterations = 200

----------------------------------------------------------------------
Ordinary Least Squares:

  MSE             = +1.485395e-03
  R2              = +9.811110e-01
  sum(std_beta^2) = +4.099404e+00
  using Bootstrap with K = 200:
    avg(MSE) = +1.637429e-03
    avg(R2)  = +9.791776e-01
    Bias     = +7.864245e-02
    Variance = +7.738994e-02

----------------------------------------------------------------------
Ridge Regression:

  penalty         = +1.000000e-09
  MSE             = +1.485395e-03
  R2              = +9.811110e-01
  sum(std_beta^2) = +1.595149e-01
  using Bootstrap with K = 200:
    avg(MSE) = +1.624456e-03
    avg(R2)  = +9.793426e-01
    Bias     = +7.864234e-02
    Variance = +7.717701e-02

  penalty         = +5.050515e-04
  MSE             = +2.678213e-03
  R2              = +9.659425e-01
  sum(std_beta^2) = +1.753287e-01
  using Bootstrap with K = 200:
    avg(MSE) = +2.812718e-03
    avg(R2)  = +9.642321e-01
    Bias     = +7.864466e-02
    Variance = +7.509159e-02

  penalty         = +1.010102e-03
  MSE             = +3.028714e-03
  R2              = +9.614853e-01
  sum(std_beta^2) = +1.724747e-01
  using Bootstrap with K = 200:
    avg(MSE) = +3.144683e-03
    avg(R2)  = +9.600106e-01
    Bias     = +7.864760e-02
    Variance = +7.419979e-02

  penalty         = +1.515152e-03
  MSE             = +3.269558e-03
  R2              = +9.584227e-01
  sum(std_beta^2) = +1.784815e-01
  using Bootstrap with K = 200:
    avg(MSE) = +3.387497e-03
    avg(R2)  = +9.569229e-01
    Bias     = +7.864657e-02
    Variance = +7.366289e-02

  penalty         = +2.020203e-03
  MSE             = +3.474643e-03
  R2              = +9.558147e-01
