#                training set                 |                   test set
#     MSE     |     Bias^2    |      Var      |      MSE      |     Bias^2    |      Var
+3.947135e+00 | +7.496279e+00 | +6.390132e-03 | +6.199545e+00 | +2.154756e+00 | +1.318720e-02
+4.093375e+00 | +6.464714e+00 | +7.217329e-03 | +6.272980e+00 | +2.158566e+00 | +8.298884e-03
+4.975001e+00 | +4.841799e+00 | +1.420291e-02 | +6.724101e+00 | +1.630754e+00 | +4.393922e-03
+6.842897e+00 | +3.049178e+00 | +1.105928e-02 | +7.693436e+00 | +6.502514e-01 | +7.887211e-03
+9.563091e+00 | +2.169022e-01 | +3.542288e-02 | +9.343080e+00 | +5.008800e-03 | +1.395611e-02
+2.646966e+01 | +8.179822e-02 | +2.329113e-01 | +2.645697e+01 | +3.336372e-02 | +1.097808e-01
+4.389093e+01 | +6.858852e-02 | +1.218581e+00 | +4.375184e+01 | +3.826402e-02 | +4.796184e-01
+4.389093e+01 | +9.311450e-02 | +8.425356e-01 | +4.375184e+01 | +1.021464e-03 | +3.971961e-01
+4.389093e+01 | +2.650159e-01 | +1.334505e+00 | +4.375184e+01 | +1.372220e-03 | +3.262030e-01
+4.389093e+01 | +2.656972e-04 | +7.048644e-01 | +4.375184e+01 | +4.482622e-02 | +5.255096e-01
+4.389093e+01 | +1.279241e-02 | +1.065660e+00 | +4.375184e+01 | +4.726759e-03 | +4.971188e-01
+4.389093e+01 | +4.861631e-02 | +1.185901e+00 | +4.375184e+01 | +1.167386e-03 | +4.688667e-01
+4.389093e+01 | +2.625409e-03 | +2.068298e+00 | +4.375184e+01 | +7.788070e-04 | +4.266238e-01
+4.389093e+01 | +2.215433e-03 | +1.302986e+00 | +4.375184e+01 | +5.443999e-03 | +3.575060e-01
+4.389093e+01 | +1.184498e-02 | +9.919008e-01 | +4.375184e+01 | +8.458613e-03 | +5.389223e-01
