#                training set                 |                   test set
#     MSE     |     Bias^2    |      Var      |      MSE      |     Bias^2    |      Var
+3.751524e+00 | +7.206001e+00 | +1.161558e-02 | +6.325236e+00 | +2.283732e+00 | +1.223774e-02
+3.751524e+00 | +7.232584e+00 | +7.561207e-03 | +6.325236e+00 | +2.281274e+00 | +8.541585e-03
+3.751524e+00 | +7.373390e+00 | +1.042204e-02 | +6.325236e+00 | +2.270638e+00 | +1.209126e-02
+3.751524e+00 | +7.167422e+00 | +1.247333e-02 | +6.325236e+00 | +2.248477e+00 | +1.383781e-02
+3.751525e+00 | +7.293094e+00 | +1.094073e-02 | +6.325236e+00 | +2.371494e+00 | +9.459865e-03
+3.751540e+00 | +7.303194e+00 | +1.110635e-02 | +6.325237e+00 | +2.328408e+00 | +8.655892e-03
+3.751732e+00 | +7.147102e+00 | +5.938573e-03 | +6.325242e+00 | +2.332909e+00 | +1.486239e-02
+3.754186e+00 | +6.927466e+00 | +8.875041e-03 | +6.325320e+00 | +2.194047e+00 | +5.249955e-03
+3.779848e+00 | +6.136915e+00 | +4.872621e-03 | +6.326351e+00 | +2.367865e+00 | +1.132400e-02
+3.953410e+00 | +4.891103e+00 | +5.277033e-03 | +6.338652e+00 | +2.225342e+00 | +7.972158e-03
+4.649099e+00 | +3.406385e+00 | +6.324475e-03 | +6.449527e+00 | +1.941522e+00 | +1.150051e-02
+7.032667e+00 | +2.686925e+00 | +1.676166e-02 | +7.129786e+00 | +1.419382e+00 | +9.703580e-03
+1.457318e+01 | +3.799597e+00 | +4.680199e-02 | +1.054987e+01 | +9.139034e-01 | +9.564278e-03
+2.732830e+01 | +4.408810e+00 | +2.019198e-01 | +2.111858e+01 | +1.204089e+00 | +2.545070e-02
+3.678701e+01 | +1.487425e+00 | +1.028477e+00 | +3.412737e+01 | +8.347812e-01 | +1.695956e-01
